"st_dis_perf","first_name","last_name","party","grants","amount_awarded","total_outlays","not_disbursed"
"FL19","Byron","Donalds","R",1,19357757,50522.14,19307234.86
"CA08","John","Garamendi","D",2,19231825,30666.94,19201158.06
"WI02","Mark","Pocan","D",1,20232335,1210706.01,19021628.99
"CA07","Doris","Matsui","D",2,19541185,574942.74,18966242.26
"PA15","Glenn","Thompson","R",4,21706956,2765609.29,18941346.71
"TX17","Pete","Sessions","R",1,18780805,25845.88,18754959.12
"NC06","Addison","McDowell","R",1,18490240,3957.75,18486282.25
"LA02","Troy","Carter","D",4,21074875,4030790.86,17044084.14
"ID02","Michael","Simpson","R",1,16465618,198.8,16465419.2
"MI13","Shri","Thanedar","D",2,20858300,4916334.76,15941965.24
"TX11","August","Pfluger","R",5,16013991,323939.8,15690051.2
"FL15","Laurel","Lee","R",1,14944031,0,14944031
"AL06","Gary","Palmer","R",1,14443306,6177.29,14437128.71
"HI01","Ed","Case","D",1,13939738,9279.89,13930458.11
"CA52","Juan","Vargas","D",2,13150680,187731.06,12962948.94
"SC06","James","Clyburn","D",4,12596020,145008.85,12451011.15
"TX23","Tony","Gonzales","R",2,13204048,1608223.66,11595824.34
"NY05","Gregory","Meeks","D",1,11158108,32000,11126108
"NY22","John","Mannion","D",2,9000000,0,9000000
"PA12","Summer","Lee","D",3,8634401,63036.71,8571364.29
"AZ90",,,,1,8100000,0,8100000
"KS04","Ron","Estes","R",1,8000000,0,8000000
"NM01","Melanie","Stansbury","D",1,8000000,0,8000000
"WV02","Riley","Moore","R",3,9040000,1197871.19,7842128.81
"MT02","Troy","Downing","R",2,7999935,651692,7348243
"MN05","Ilhan","Omar","D",2,10500000,3196260.97,7303739.03
"NY09","Yvette","Clarke","D",3,5047647,37802.72,5009844.28
"HI02","Jill","Tokuda","D",4,5073914,278309.46,4795604.54
"IL15","Mary","Miller","R",1,4000000,0,4000000
"MA08","Stephen","Lynch","D",3,3650000,234323.07,3415676.93
"NY07","Nydia","Velázquez","D",1,3115632,32659.97,3082972.03
"FL90",,,,1,3000000,0,3000000
"GU00","James","Moylan","R",1,3000000,0,3000000
"IL04","Jesús","García","D",1,2754952,3800.32,2751151.68
"AL03","Mike","Rogers","R",1,2596592,0,2596592
"IL07","Danny","Davis","D",2,2317535,48041.99,2269493.01
"AZ02","Elijah","Crane","R",4,2750000,511975.03,2238024.97
"IN07","André","Carson","D",1,2166564,0,2166564
"CA02","Jared","Huffman","D",3,2199958,62257.71,2137700.29
"OH14","David","Joyce","R",2,2000000,7617.37,1992382.63
"ME02","Jared","Golden","D",5,2180000,265115.65,1914884.35
"TN05","Andrew","Ogles","R",1,1875142,6129.72,1869012.28
"MO05","Emanuel","Cleaver","D",3,1700000,0,1700000
"PA02","Brendan","Boyle","D",3,1699911,31035.4,1668875.6
"CO03","Jeff","Hurd","R",3,1650000,59878.04,1590121.96
"NY14","Alexandria","Ocasio-Cortez","D",5,1725000,168971,1556029
"GA01","Earl","Carter","R",2,1500000,10075.66,1489924.34
"CA12","Lateefah","Simon","D",2,1500000,69772.96,1430227.04
"CA11","Nancy","Pelosi","D",2,1500000,162892.87,1337107.13
"KY03","Morgan","McGarvey","D",2,1500000,191481.83,1308518.17
"CA48","Darrell","Issa","R",2,1499735,225626.86,1274108.14
"CT01","John","Larson","D",2,1200000,0,1200000
"WI04","Gwen","Moore","D",2,1499200,337066.58,1162133.42
"LA03","Clay","Higgins","R",2,1150000,15000,1135000
"ME01","Chellie","Pingree","D",2,1386014,280723.31,1105290.69
"CT04","James","Himes","D",1,1050000,0,1050000
"NY16","George","Latimer","D",1,1050000,0,1050000
"WA06","Emily","Randall","D",1,1050000,0,1050000
"CA16","Sam","Liccardo","D",1,1000000,0,1000000
"CT05","Jahana","Hayes","D",1,1000000,0,1000000
"KS02","Derek","Schmidt","R",1,1000000,0,1000000
"MA07","Ayanna","Pressley","D",1,1000000,0,1000000
"MI06","Debbie","Dingell","D",1,1000000,0,1000000
"MI08","Kristen","McDonald Rivet","D",1,1000000,0,1000000
"MN01","Brad","Finstad","R",1,1000000,0,1000000
"NJ12","Bonnie","Watson Coleman","D",1,1000000,0,1000000
"NY25","Joseph","Morelle","D",1,1000000,0,1000000
"WI07","Thomas","Tiffany","R",1,1000000,0,1000000
"CA25","Raul","Ruiz","D",1,999994,0,999994
"OK04","Tom","Cole","R",1,999367,0,999367
"CA13","Adam","Gray","D",1,1000000,4331.41,995668.59
"ND00","Julie","Fedorchak","R",1,1000000,8169,991831
"OH12","Troy","Balderson","R",2,997184,9419.92,987764.08
"NY23","Nicholas","Langworthy","R",1,982633,0,982633
"VA08","Donald","Beyer","D",1,980350,0,980350
"AR04","Bruce","Westerman","R",1,1000000,19997,980003
"MD06","April","McClain Delaney","D",1,997266,19869.21,977396.79
"UT03","Mike","Kennedy","R",1,1000000,23106.2,976893.8
"NC03","Gregory","Murphy","R",1,1000000,28967.15,971032.85
"FL20","Sheila","Cherfilus-McCormick","D",1,1000000,30318.26,969681.74
"IA03","Zachary","Nunn","R",1,1000000,35489.41,964510.59
"AL01","Barry","Moore","R",1,1000000,41392.98,958607.02
"IN03","Marlin","Stutzman","R",1,1000000,47000,953000
"WA02","Rick","Larsen","D",1,977919,58402.78,919516.22
"UT02","Celeste","Maloy","R",1,1000000,127224,872776
"OR03","Maxine","Dexter","D",2,1497587,640957.22,856629.78
"TX30","Jasmine","Crockett","D",1,652664,0,652664
"MD05","Steny","Hoyer","D",2,870775,259517.8,611257.2
"AL07","Terri","Sewell","D",3,650000,66873.59,583126.41
"MS02","Bennie","Thompson","D",4,675000,101349.88,573650.12
"MD07","Kweisi","Mfume","D",2,524000,0,524000
"AZ07",,"Office of the 7th Congressional District of Arizona",,2,650000,144684.31,505315.69
"CA34","Jimmy","Gomez","D",1,500000,0,500000
"CA46","J.","Correa","D",1,500000,0,500000
"OK05","Stephanie","Bice","R",1,499996,0,499996
"PA09","Daniel","Meuser","R",1,500000,9074,490926
"IL16","Darin","LaHood","R",1,498008,12840.06,485167.94
"DE00","Sarah","McBride","D",1,490912,9623.5,481288.5
"IL90",,,,1,499634,23888.6,475745.4
"IA04","Randy","Feenstra","R",1,500000,31383.75,468616.25
"MS04","Mike","Ezell","R",2,575000,122518,452482
"TX07","Lizzie","Fletcher","D",1,500000,48462.64,451537.36
"MA03","Lori","Trahan","D",1,500000,67411.33,432588.67
"IN02","Rudy","Yakym","R",1,495146,68154.66,426991.34
"MO03","Robert","Onder","R",1,499342,74227.72,425114.28
"OR01","Suzanne","Bonamici","D",1,500000,89606.65,410393.35
"MA01","Richard","Neal","D",1,500000,95937.86,404062.14
"MO07","Eric","Burlison","R",1,500000,106234.91,393765.09
"IL02","Robin","Kelly","D",1,472919,100000,372919
"TN04","Scott","DesJarlais","R",1,500000,128962.08,371037.92
"RI01","Gabe","Amo","D",1,500000,132996.74,367003.26
"ID01","Russ","Fulcher","R",1,450000,97746.68,352253.32
"TX02","Dan","Crenshaw","R",1,425616,76210.13,349405.87
"OH03","Joyce","Beatty","D",1,500000,194846.47,305153.53
"NC12","Alma","Adams","D",1,500000,232410.37,267589.63
"CA21","Jim","Costa","D",1,1000000,742796.14,257203.86
"AL02","Shomari","Figures","D",1,200000,0,200000
"CA36","Ted","Lieu","D",1,200000,0,200000
"CA50","Scott","Peters","D",1,200000,0,200000
"FL02","Neal","Dunn","R",2,200000,0,200000
"GA08","Austin","Scott","R",1,200000,0,200000
"MN04","Betty","McCollum","D",1,200000,0,200000
"TN02","Tim","Burchett","R",1,200000,0,200000
"AZ03","Yassamin","Ansari","D",1,199781,0,199781
"CA43","Maxine","Waters","D",1,500000,325653.67,174346.33
"FL28","Carlos","Gimenez","R",1,150000,23304.26,126695.74
"NY10","Daniel","Goldman","D",1,150000,41991.46,108008.54
"NY11","Nicole","Malliotakis","R",1,75000,0,75000
